,file,society,city,size,secteur,fondation,website
1,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13558-INFO-SOC-GLASSDOOR-E6162_P1.html,Dassault Systemes,Vélizy,Plus de 10 000 employés, Matériel et logiciels informatiques, 1981,None
2,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13638-INFO-SOC-GLASSDOOR-E1481570_P1.html,ALTRAD Group,Montpellier,De 1 001 à 5 000 employés, Inconnu, Inconnu,None
3,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13727-INFO-SOC-GLASSDOOR-E1261010_P1.html,Mixt Composites Recyclables,Tournon-sur-Rhône,Inconnu, Inconnu, Inconnu,None
4,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13745-INFO-SOC-GLASSDOOR-E3803_P1.html,Capgemini,Paris,Plus de 10 000 employés, Solutions logicielles et réseau d'entreprise, 1967,None
5,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13679-INFO-SOC-GLASSDOOR-E906809_P1.html,Fortuneo SA,Paris,Entre 201 et 500 employés, Banques et organismes de crédit, 2000,None
6,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13770-INFO-SOC-GLASSDOOR-E1013306_P1.html,D2SI,Paris,De 51 à 200 employés, Conseils, 2006,None
7,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13746-INFO-SOC-GLASSDOOR-E589990_P1.html,Capgemini Invent,Courbevoie,De 5 001 à 10 000 employés, Conseils, 2009,None
8,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13700-INFO-SOC-GLASSDOOR-E1127781_P1.html,CELINE,Paris,De 1 001 à 5 000 employés," Magasins de chaussures, de vêtements et grands magasins", 1945,None
9,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13563-INFO-SOC-GLASSDOOR-E13082_P1.html,CEGID,Lyon,De 1 001 à 5 000 employés, Solutions logicielles et réseau d'entreprise, 1983,None
10,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13803-INFO-SOC-GLASSDOOR-E20114_P1.html,Veolia,Paris,Plus de 10 000 employés, Services publics de distribution, 1853,None
11,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13626-INFO-SOC-GLASSDOOR-E3765_P1.html,BMO Financial Group,"Toronto, ON (Canada)",Plus de 10 000 employés, Banques et organismes de crédit, 1817,None
12,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13780-INFO-SOC-GLASSDOOR-E35333_P1.html,GFI Group,"New York, NY (États-Unis)",De 1 001 à 5 000 employés, Services de courtage, 1987,None
13,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13553-INFO-SOC-GLASSDOOR-E5304_P1.html,Atos-Syntel,"Troy, MI (États-Unis)",Plus de 10 000 employés, Services informatiques, 1980,None
14,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13614-INFO-SOC-GLASSDOOR-E230035_P1.html,SeLoger,Paris,De 501 à 1 000 employés, Édition, 1992,None
15,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13654-INFO-SOC-GLASSDOOR-E899918_P1.html,ITS Overlap,Nanterre,Entre 201 et 500 employés, Production animale, 2006,None
16,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13629-INFO-SOC-GLASSDOOR-E474142_P1.html,CRIM (Computer Research Institute of Montreal),"Montréal, QC (Canada)",Inconnu, Recherche et développement, Inconnu,None
17,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13737-INFO-SOC-GLASSDOOR-E2947949_P1.html,L&T Thales Technology Services,Plus de 10 000 employés, Inconnu, Inconnu, Inconnu,None
18,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13795-INFO-SOC-GLASSDOOR-E231247_P1.html,ACCEO Solutions,"Montréal, QC (Canada)",De 501 à 1 000 employés, Solutions logicielles et réseau d'entreprise, 1988,None
19,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13760-INFO-SOC-GLASSDOOR-E1194086_P1.html,Open Sourcing,Paris,De 1 à 50 employés, Recrutement et sous-traitance, 2008,None
20,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13732-INFO-SOC-GLASSDOOR-E158808_P1.html,Keyrus Group,Levallois-Perret,De 1 001 à 5 000 employés, Services informatiques, 1996,None
21,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13691-INFO-SOC-GLASSDOOR-E1130973_P1.html,Groupe Adéquat,Lyon,De 501 à 1 000 employés, Recrutement et sous-traitance, 1987,None
22,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13716-INFO-SOC-GLASSDOOR-E466295_P1.html,Sopra Steria,Annecy-le-Vieux,Plus de 10 000 employés, Services informatiques, 1968,None
23,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13577-INFO-SOC-GLASSDOOR-E235143_P1.html,UK Ministry of Defence,"Londres, Angleterre (Royaume-Uni)",Plus de 10 000 employés, Organismes fédéraux, 1964,None
24,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13637-INFO-SOC-GLASSDOOR-E3133104_P1.html,ALTRAN,Hambourg (Allemagne),Inconnu, Inconnu, Inconnu,None
25,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13619-INFO-SOC-GLASSDOOR-E800152_P1.html,SoLocal Group,Sèvres,De 1 001 à 5 000 employés, Services de télécommunications, Inconnu,None
26,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13712-INFO-SOC-GLASSDOOR-E3041003_P1.html,Crédit Agricole d'Aquitaine,"Bordeaux, Aquitaine",De 1 001 à 5 000 employés, Inconnu, Inconnu,None
27,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13807-INFO-SOC-GLASSDOOR-E1260894_P1.html,Groupe NICOLLIN - Groupe VEOLIA,Saint-Fons,Inconnu, Inconnu, Inconnu,None
28,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13762-INFO-SOC-GLASSDOOR-E253138_P1.html,Artefact Group,"Seattle, WA (États-Unis)",De 51 à 200 employés, Conseils, 2006,None
29,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13801-INFO-SOC-GLASSDOOR-E736804_P1.html,La Redoute,Roubaix,De 1 001 à 5 000 employés, Autres magasins de détail, Inconnu,None
30,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13602-INFO-SOC-GLASSDOOR-E3516_P1.html,Volvo Group,Gothenburg (Suède),Plus de 10 000 employés, Fabrication d'équipement de transport, 1927,None
31,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13622-INFO-SOC-GLASSDOOR-E847875_P1.html,Morgan Philips Executive Search,Luxembourg (Luxembourg),Entre 201 et 500 employés, Recrutement et sous-traitance, 2013,None
32,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13585-INFO-SOC-GLASSDOOR-E13058_P1.html,Cegedim,Boulogne-Billancourt,De 1 001 à 5 000 employés, Matériel et logiciels informatiques, 1969,None
33,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13641-INFO-SOC-GLASSDOOR-E28187_P1.html,Altran North America,"New York, NY (États-Unis)",Plus de 10 000 employés, Services de télécommunications, 1991,None
34,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13615-INFO-SOC-GLASSDOOR-E6538_P1.html,CNH Industrial,"Londres, Angleterre (Royaume-Uni)",Plus de 10 000 employés, Fabrication industrielle, 2013,None
35,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13612-INFO-SOC-GLASSDOOR-E845851_P1.html,Feu Vert,Écully,De 1 001 à 5 000 employés, Magasins de pièces automobiles et accessoires, 1972,None
36,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13753-INFO-SOC-GLASSDOOR-E13339_P1.html,Open,Levallois-Perret,De 1 001 à 5 000 employés, Services d'architecture et d'ingénierie, 1989,None
37,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13787-INFO-SOC-GLASSDOOR-E35333_P1.html,GFI Group,"New York, NY (États-Unis)",De 1 001 à 5 000 employés, Services de courtage, 1987,None
38,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13603-INFO-SOC-GLASSDOOR-E5772_P1.html,Volvo Trucks,"Greensboro, NC (États-Unis)",De 1 001 à 5 000 employés, Fabrication d'équipement de transport, 1928,None
39,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13806-INFO-SOC-GLASSDOOR-E2701639_P1.html,Veolia Water Tech,Inconnu, Inconnu, Inconnu, Inconnu,None
40,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13600-INFO-SOC-GLASSDOOR-E541990_P1.html,CGIAR,Montpellier,De 5 001 à 10 000 employés, Assistance sociale, Inconnu,None
41,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13711-INFO-SOC-GLASSDOOR-E3043501_P1.html,Crédit Agricole d'Ile de France,Paris,De 1 001 à 5 000 employés, Inconnu, Inconnu,None
42,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13779-INFO-SOC-GLASSDOOR-E33451_P1.html,GFI Software,"Austin, TX (États-Unis)",De 51 à 200 employés, Matériel et logiciels informatiques, 1992,None
43,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13692-INFO-SOC-GLASSDOOR-E929611_P1.html,Teads,Luxembourg (Luxembourg),De 501 à 1 000 employés, Publicité et marketing, 2011,None
44,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13572-INFO-SOC-GLASSDOOR-E2098670_P1.html,Adsearch,Paris,De 51 à 200 employés, Inconnu, Inconnu,None
45,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13708-INFO-SOC-GLASSDOOR-E4252_P1.html,Groupe Crédit Agricole,Montrouge,De 5 001 à 10 000 employés, Investissements bancaires et gestion d'actifs, 1885,None
46,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13734-INFO-SOC-GLASSDOOR-E10358_P1.html,Thales,Nanterre,Plus de 10 000 employés, Aérospatiale et Défense, 2000,None
47,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13639-INFO-SOC-GLASSDOOR-E7448_P1.html,Altran Group,Paris,Plus de 10 000 employés, Services informatiques, 1991,None
48,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13706-INFO-SOC-GLASSDOOR-E19928_P1.html,Merial,"Harlow, Angleterre (Royaume-Uni)",De 1 001 à 5 000 employés, Fabrication de produits grand public, Inconnu,None
49,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13791-INFO-SOC-GLASSDOOR-E116383_P1.html,GFI,Moscou (Russie),De 51 à 200 employés, Jeux vidéo, Inconnu,None
50,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13649-INFO-SOC-GLASSDOOR-E2548_P1.html,Manpower,"Uxbridge, Angleterre (Royaume-Uni)",De 5 001 à 10 000 employés, Recrutement et sous-traitance, 1948,None
51,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13584-INFO-SOC-GLASSDOOR-E1044716_P1.html,Smile Group,Asnières-sur-Seine,De 1 001 à 5 000 employés, Services informatiques, 1991,None
52,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13554-INFO-SOC-GLASSDOOR-E855284_P1.html,Atos Medical,"New Berlin, WI (États-Unis)",De 51 à 200 employés, Fabrication de produits de soins de santé, 2000,None
53,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13741-INFO-SOC-GLASSDOOR-E1132227_P1.html,JEMS Group,Neuilly,Entre 201 et 500 employés, Services informatiques, 2002,None
54,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13790-INFO-SOC-GLASSDOOR-E9028_P1.html,Gfi Informatique,"Saint-Ouen, Île-de-France",Plus de 10 000 employés, Services informatiques, 1995,None
55,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13800-INFO-SOC-GLASSDOOR-E1443740_P1.html,ibis,Courcouronnes,Plus de 10 000 employés," Hôtels, motels et stations de tourisme", Inconnu,None
56,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13618-INFO-SOC-GLASSDOOR-E1136406_P1.html,SOTRAVO Filiale SOLOCAL GROUP,Montigny,Inconnu, Inconnu, Inconnu,None
57,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13767-INFO-SOC-GLASSDOOR-E1387356_P1.html,Openfield Live,Paris,De 1 à 50 employés, Inconnu, Inconnu,None
58,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13606-INFO-SOC-GLASSDOOR-E31197_P1.html,Volvo Construction Equipment,"Asheville, NC (États-Unis)",Entre 201 et 500 employés, Fabrication industrielle, 1985,None
59,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13714-INFO-SOC-GLASSDOOR-E10777_P1.html,Lectra,Paris,De 1 001 à 5 000 employés, Matériel et logiciels informatiques, 1973,None
60,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13792-INFO-SOC-GLASSDOOR-E33451_P1.html,GFI Software,"Austin, TX (États-Unis)",De 51 à 200 employés, Matériel et logiciels informatiques, 1992,None
61,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13693-INFO-SOC-GLASSDOOR-E762009_P1.html,Datadog,"New York, NY (États-Unis)",De 1 001 à 5 000 employés, Matériel et logiciels informatiques, 2010,None
62,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13570-INFO-SOC-GLASSDOOR-E1394648_P1.html,Abaka,Rennes,De 1 à 50 employés, Conseils, 2002,None
63,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13655-INFO-SOC-GLASSDOOR-E717393_P1.html,Canon ITS,"Chesapeake, VA (États-Unis)",Entre 201 et 500 employés, Comptabilité, Inconnu,None
64,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13607-INFO-SOC-GLASSDOOR-E301204_P1.html,Volvo Information Technology,De 1 001 à 5 000 employés, Inconnu, Services informatiques, Inconnu,None
65,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13809-INFO-SOC-GLASSDOOR-E413452_P1.html,Transdev,"Lombard, IL (États-Unis)",Plus de 10 000 employés, Gestion des transports, 2011,None
66,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13733-INFO-SOC-GLASSDOOR-E852040_P1.html,Yongzhi Plastic Electronics (Shenzhen) Co.,Hong Kong (Hong Kong),Entre 201 et 500 employés, Fabrication industrielle, 1993,None
67,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13633-INFO-SOC-GLASSDOOR-E672181_P1.html,Softeam,Paris,De 501 à 1 000 employés, Matériel et logiciels informatiques, Inconnu,None
68,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13678-INFO-SOC-GLASSDOOR-E379472_P1.html,Logware,Paris,Entre 201 et 500 employés, Conseils, 1997,None
69,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13621-INFO-SOC-GLASSDOOR-E1178969_P1.html,Morgan Philips Group,Luxembourg (Luxembourg),De 51 à 200 employés, Inconnu, Inconnu,None
